course_id courseLevel
course_id_5 courseLevel_Level_300
course_id_11 courseLevel_Level_300
course_id_18 courseLevel_Level_300
course_id_104 courseLevel_Level_300
course_id_124 courseLevel_Level_300
course_id_146 courseLevel_Level_300
course_id_147 courseLevel_Level_300
course_id_165 courseLevel_Level_300
course_id_8 courseLevel_Level_400
course_id_20 courseLevel_Level_400
course_id_21 courseLevel_Level_400
course_id_24 courseLevel_Level_400
course_id_27 courseLevel_Level_400
course_id_28 courseLevel_Level_400
course_id_30 courseLevel_Level_400
course_id_38 courseLevel_Level_400
course_id_41 courseLevel_Level_400
course_id_44 courseLevel_Level_400
course_id_45 courseLevel_Level_400
course_id_48 courseLevel_Level_400
course_id_49 courseLevel_Level_400
course_id_51 courseLevel_Level_400
course_id_52 courseLevel_Level_400
course_id_53 courseLevel_Level_400
course_id_57 courseLevel_Level_400
course_id_62 courseLevel_Level_400
course_id_68 courseLevel_Level_400
course_id_75 courseLevel_Level_400
course_id_80 courseLevel_Level_400
course_id_82 courseLevel_Level_400
course_id_89 courseLevel_Level_400
course_id_93 courseLevel_Level_400
course_id_97 courseLevel_Level_400
course_id_107 courseLevel_Level_400
course_id_110 courseLevel_Level_400
course_id_118 courseLevel_Level_400
course_id_122 courseLevel_Level_400
course_id_125 courseLevel_Level_400
course_id_126 courseLevel_Level_400
course_id_128 courseLevel_Level_400
course_id_137 courseLevel_Level_400
course_id_143 courseLevel_Level_400
course_id_148 courseLevel_Level_400
course_id_151 courseLevel_Level_400
course_id_154 courseLevel_Level_400
course_id_157 courseLevel_Level_400
course_id_159 courseLevel_Level_400
course_id_161 courseLevel_Level_400
course_id_164 courseLevel_Level_400
course_id_174 courseLevel_Level_400
course_id_0 courseLevel_Level_500
course_id_1 courseLevel_Level_500
course_id_2 courseLevel_Level_500
course_id_3 courseLevel_Level_500
course_id_4 courseLevel_Level_500
course_id_7 courseLevel_Level_500
course_id_9 courseLevel_Level_500
course_id_12 courseLevel_Level_500
course_id_13 courseLevel_Level_500
course_id_14 courseLevel_Level_500
course_id_15 courseLevel_Level_500
course_id_16 courseLevel_Level_500
course_id_19 courseLevel_Level_500
course_id_23 courseLevel_Level_500
course_id_29 courseLevel_Level_500
course_id_32 courseLevel_Level_500
course_id_34 courseLevel_Level_500
course_id_35 courseLevel_Level_500
course_id_36 courseLevel_Level_500
course_id_39 courseLevel_Level_500
course_id_40 courseLevel_Level_500
course_id_46 courseLevel_Level_500
course_id_50 courseLevel_Level_500
course_id_54 courseLevel_Level_500
course_id_56 courseLevel_Level_500
course_id_61 courseLevel_Level_500
course_id_63 courseLevel_Level_500
course_id_64 courseLevel_Level_500
course_id_65 courseLevel_Level_500
course_id_66 courseLevel_Level_500
course_id_67 courseLevel_Level_500
course_id_71 courseLevel_Level_500
course_id_74 courseLevel_Level_500
course_id_76 courseLevel_Level_500
course_id_77 courseLevel_Level_500
course_id_79 courseLevel_Level_500
course_id_83 courseLevel_Level_500
course_id_84 courseLevel_Level_500
course_id_85 courseLevel_Level_500
course_id_86 courseLevel_Level_500
course_id_87 courseLevel_Level_500
course_id_88 courseLevel_Level_500
course_id_91 courseLevel_Level_500
course_id_98 courseLevel_Level_500
course_id_101 courseLevel_Level_500
course_id_103 courseLevel_Level_500
course_id_108 courseLevel_Level_500
course_id_109 courseLevel_Level_500
course_id_114 courseLevel_Level_500
course_id_115 courseLevel_Level_500
course_id_116 courseLevel_Level_500
course_id_117 courseLevel_Level_500
course_id_119 courseLevel_Level_500
course_id_120 courseLevel_Level_500
course_id_121 courseLevel_Level_500
course_id_123 courseLevel_Level_500
course_id_129 courseLevel_Level_500
course_id_131 courseLevel_Level_500
course_id_132 courseLevel_Level_500
course_id_134 courseLevel_Level_500
course_id_135 courseLevel_Level_500
course_id_136 courseLevel_Level_500
course_id_138 courseLevel_Level_500
course_id_139 courseLevel_Level_500
course_id_141 courseLevel_Level_500
course_id_144 courseLevel_Level_500
course_id_149 courseLevel_Level_500
course_id_150 courseLevel_Level_500
course_id_152 courseLevel_Level_500
course_id_153 courseLevel_Level_500
course_id_155 courseLevel_Level_500
course_id_156 courseLevel_Level_500
course_id_158 courseLevel_Level_500
course_id_160 courseLevel_Level_500
course_id_162 courseLevel_Level_500
course_id_166 courseLevel_Level_500
course_id_167 courseLevel_Level_500
course_id_168 courseLevel_Level_500
course_id_169 courseLevel_Level_500
course_id_170 courseLevel_Level_500
course_id_172 courseLevel_Level_500
course_id_173 courseLevel_Level_500
